url,description,name,Herkunftsland,Anbauregion,Weingut,Marke,Produktkategorie,Qualitätsstufe,Cuvee,Jahrgang,Geschmacksrichtung,Farbnuance,Flaschengröße,Alkoholgehalt,Restzucker,Säure,Trinktemperatur,Passende Speisen,Hinweis auf Allergene,Hersteller,Model,Generierte Beschreibung,Tonalität
https://www.vindor.de/piedemonte-gamma-blanco-do-navarra,"Glänzende strohgelbe Farbe. Im Bukett saubere und natürliche Aromen, erinnernd an den Duft der Trauben am Rebstock mit einigen Anklängen an Zitrusfrüchte. Im Mund frisch und rund mit Röstnoten und Anklängen an Zitrusfrüchte.","Piedemonte, Gamma Blanco, DO Navarra",Spanien,Navarra,Bodegas Piedemonte,Piedemonte,Weißwein,D.O.,"Chardonnay, Moscatel, Viura",2022,trocken,strohgelb,"0,75 l","12,5 %","2,4 g/l","5,0 g/l",8-10 °C,"Sehr gut zu allen Arten von Fisch, Schweinefleisch und Geflügel, Paellas und Nudelgerichten",enthält Sulfite,"Bodegas Piedemonte, Rua Romana, 0 - ES 31390 Olite, Navarra, Spanien",AlephAlpha: luminous-supreme-control," Der Weißwein ""Piedemonte Gamma Blanco"" stammt aus der Region Navarra in Spanien. Sein Geschmack ist trocken und eignet sich hervorragend zu allen Arten von Fisch, Schweinefleisch und Geflügel, Paellas und Nudelgerichten. Das Aroma dieses Weißweins ist blumig mit Noten von reifer Ananas und gelben Früchten. Sein Abgang ist vollmundig und lang anhaltend. Genießen Sie ihn bei einer angenehmen Trinktemperatur von 8-10 °C.",verspielt
https://www.vindor.de/albino-armani-pinot-grigio-friuli-grave-doc-friuli,"Leidenschaft und Hingabe kennzeichnen diesen hochklassigen Pinot Grigio von Armani, dessen Name seit über 400 Jahren für höchste Qualitiät steht. Wunderbares, intensives und charakteristisches Bukett das an Birnen und reife Äpfel erinnert und sich mit Düften von trockenem Heu und gerösteten Mandeln entfaltet. Am Gaumen ist er frisch und mineralisch, genau wie das Land, aus dem er stammt.","Albino Armani, Pinot Grigio Friuli Grave, DOC Friuli",Italien,Friaul,Albino Armani,Albino Armani,Weißwein,DOC,,2022,trocken,strahlendes Strohgelb,"0,75 l","12,5 %","2,7 g/l","5,3 g/l",8-10 °C,,enthält Sulfite,"Cantina Vini Armani ,  Località Ceradello, Via Ceradello 401, IT-37020 Dolcè - Italien",AlephAlpha: luminous-supreme-control," Der Albino Armani, Pinot Grigio Friuli Grave, DOC Friuli, ist ein strahlendes Strohgelb mit einem blumigen und fruchtigen Aroma. Seine blumigen Noten von Jasmin und Rosenblättern werden durch zarte Anklänge von Apfel und Quitte ergänzt. Am Gaumen ist er trocken und knackig mit einem langen Abgang. Dieser Weißwein passt perfekt zu Meeresfrüchten, Geflügel, Salaten und Gemüse. Genießen Sie ihn bei einer kühlen Temperatur von 8-10 °C.",verspielt
https://www.vindor.de/kressmann-grande-reserve-blanc-ac-bordeaux,"Die Firma Kressmann (das bedeutendste Handelhaus in Bordeaux) produziert diesen herrlichen Weißwein. Ein Wein bei dem alles passt: Eine schöne goldgelbe Farbe, ein reichhaltiges, vollfruchtiges und großartiges Bukett.","Kressmann, Grande Reserve Blanc, AC Bordeaux",Frankreich,Bordeaux,CVBG Dourthe - Kressmann,Kressmann,Weißwein,AC Bordeaux,"Sauvignon blanc, Sémillon, Muscadelle",2021,trocken,goldgelb,"0,75 l",12 %,"2,0 g/l","4,0 g/l",8-10 °C,"Ideal zu Gemüse und hellem Fleisch, zu Fisch und Krustentieren, optimal zu gegrilltem Fisch.",enthält Sulfite,"CVBG Dourthe Kressmann (C&C EXPORT), 35 Rue de Bordeaux Parempuyre –  33295 Blanquefort Cedex - France",AlephAlpha: luminous-supreme-control," Der Kressmann, Grande Reserve Blanc, AC Bordeaux, vom Weingut CVBG Dourthe - Kressmann, ist ein trockener Weißwein mit einem fruchtigen und blumigen Aroma, das an Pfirsich, Aprikose und Holunderblüte erinnert. Dieser Weißwein hat einen weichen und eleganten Geschmack mit einem langen Abgang. Er passt perfekt zu Gemüse und hellem Fleisch, zu Fisch und Krustentieren, aber auch zu gegrilltem Fisch.",verspielt
https://www.vindor.de/fortant-de-france-sauvignon-serigrafiert-vin-de-pays-d-oc-in-serigrafierter-flasche,"Die besondere, serigrafierte Flasche erfreut das Auge so wie der Wein später den Gaumen. Frische, exotische Noten, am Gaumen schöne, frische Säure, feine Sauvignon Blanc-Aromatik, gute Struktur.","Fortant de France, Sauvignon Serigrafiert, Vin de Pays d'Oc -in serigrafierter Flasche-",Frankreich,Languedoc,Les Vins de Skalli,Les Vins Skalli,Weißwein,IGT / IGP,,2021,trocken,,"0,75 l","11,5 %","10,0 g/l","5,0 g/l",8-10 °C,"asiatische Küche, Salat, Geflügel, Nachspeisen und zu allen Gelegenheiten",enthält Sulfite,"Les Vins de Skalli, 1266 rte Châteauneuf du Pape, F 84700 SORGUES, France",AlephAlpha: luminous-supreme-control," Der Sauvignon Serigrafiert von Fortant de France ist ein trockener Weißwein mit einem frischen und fruchtigen Aroma, das an grüne Äpfel, Stachelbeeren und Zitrusfrüchte erinnert. Sein Geschmack ist lebhaft und erfrischend mit einem knackigen Abgang, der perfekt zu asiatischer Küche, Salat, Geflügel, Nachspeisen und zu allen Gelegenheiten passt. Er wird am besten bei einer Trinktemperatur von 8-10 °C serviert und eignet sich hervorragend als Begleiter für jeden Anlass.",verspielt
https://www.vindor.de/la-vie-est-belle-blanc-9-5-vdf-suedwestfrankreich,"Sie möchten die schönen Momente im Leben unbeschwert genießen? Dann versuchen Sie es einmal mit diesem wunderbar leichten und frischen Wein, der mit intensiven Aromen von Blüten, Grapefruit und Zitronenschale die Sinne erfreut. Ein feines Prickeln auf der Zunge, eine belebende Säure und eine dezente Restsüße machen ihn zum idealen Sommerwein - ein unbeschwerter Hochgenuss für die schönsten Momente im Leben.","La vie est belle Blanc 9,5%, VDF Südwestfrankreich",Frankreich,,La vie est belle,La vie est belle,Weißwein,Vin de France,,2022,halbtrocken,strohgelb,"0,75 l","9,5 %","18,0 g/l","7,6 g/l",8-10 °C,"Vorspeisen, Meeresfrüchte, Fisch, Geflügel, Pasta, Salate",enthält Sulfite,"La vie est belle, FR-11000 Carcassonne - Frankreich",AlephAlpha: luminous-supreme-control," La vie est belle - der schönste Tag im Leben! Genießen Sie die Leichtigkeit und Fruchtigkeit dieses halbtrockenen Weißweins aus dem Südwesten Frankreichs. Freuen Sie sich auf ein wahres Feuerwerk an Aromen von tropischen Früchten, wie Ananas und Mango, sowie Zitrusnoten von Grapefruit und Limette. Dieser Wein passt perfekt zu Vorspeisen, Meeresfrüchten, Fisch, Geflügel, Pasta und Salaten. La vie est belle - das Leben ist schön!",verspielt
https://www.vindor.de/weingut-gerald-beck-zweigelt-classic-burgenland,"Das Weingut Beck liefert mit dem Zweigelt Classic eine klassische Variante des beliebten Rotweins. Der Zweigelt, welcher die meistangebaute Rebsorte Österreichs ist, besitzt einen fruchtig-würzigen Duft, der Ihre Sinne verführen wird. Am Gaumen wird er von Kirschen und roten Beeren getragen und endet in einem harmonischen, lang anhaltenden Abgang. Daher passt der Zweigelt Classic hervorragend zu Antipasti und Wild. Servieren Sie den Wein am besten in einem großen Rotweinglas bei einer Trinktemperatur von 16-18°C.","Weingut Gerald Beck, Zweigelt Classic, Burgenland",Österreich,Burgenland,Weingut Gerald Beck,Beck,Rotwein,Qualitätswein,,2016,trocken,kirschrot,"0,75 l","13,5 %","5,0 g/l","5,0 g/l",16-18 °C,"Antipasti, Wildschwein mit karamellisierten Birnenspalten und Preiselbeerensoße",enthält Sulfite,"Weingut Gerald Beck, Untere Hauptstraße 19, A-7122 Gols, Österreich",AlephAlpha: luminous-supreme-control," Weingut Gerald Beck präsentiert seinen Zweigelt Classic, der mit seinen kirschroten Früchten und seinem süßen Duft nach Brombeeren und Kirschen ein wahrer Genuss ist. Dieser trockene Rotwein mit 13,5 % Alkoholgehalt ist der perfekte Begleiter für Antipasti, Wildschwein mit karamellisierten Birnenspalten und Preiselbeerensoße. Genießen Sie diesen Zweigelt Classic bei einer Trinktemperatur von 16-18 °C.",verspielt
https://www.vindor.de/edlmoser-laessiger-gruener-veltliner-niederoesterreich,"Wenn Sie es gern locker mögen, oder wie der Österreicher sagt LÄSSIG, ist dieser Wein genau das Richtige für Sie. Österreichs bekannteste Rebsorte in Reinkultur. LAESSIGER Grüner Veltliner duftet nach Apfel und Pfeffer und punktet mit knackiger, klarer Frucht und erfrischender Leichtigkeit. Das passt hervorragend zu gegrillten und rohen Fischen oder einer klassischen Brettljause. Wer wagt,gewinnt!","Edlmoser, Laessiger Grüner Veltliner, Niederösterreich",Österreich,Niederösterreich,Edlmoser Wines,Laessiger,Weißwein,,,2022,trocken,strahlendes Strohgelb,"0,75 l",12 %,"4,0 g/l","6,5 g/l",8-9 °C,"Roher oder gegrillter Fisch, Wiener Schnitzel, typische Brettljause - oder einfach so.",enthält Sulfite,"Edlmoser Weingut & Heuriger, Maurer Lange Gasse 123 - 1230 Wien - Österreich",AlephAlpha: luminous-supreme-control," Dieser grüne Veltliner hat eine strahlendes Strohgelb. In der Nase hat man einen Hauch von Apfel, Birne und etwas Ananas. Am Gaumen ist er frisch und knackig mit einer angenehmen Säure und einem langen Abgang. Passende Speisen sind zum Beispiel Roher oder gegrillter Fisch, Wiener Schnitzel, typische Brettljause - oder einfach so.",verspielt
https://www.vindor.de/rockabilly-weinkult-cuvee-maximilian-weinviertel,"Achtung: Hoher Kultfaktor ! Die Rock’n’Roll-Winzer aus Österreich: Rockabilly Weinkult – Wein, der rockt, und das nicht nur bei Genießern mit Tolle.
Der Rockabilly Weinkult ""Cuvée Maximilian"" überzeugt durch seine wunderbare Trinkfreudig- und Fruchtigkeit. Rubinrot, in der Nase vielschichtig, duftet nach Zwetschke, Marzipan und etwas Minze, am Gaumen Röstaromen, Beerenkonfit und etwas dunkle Schokolade, saftige und trinkanimierende Cuvée. DER ROCKT !","Rockabilly Weinkult, Cuvée Maximilian, Weinviertel",Österreich,Weinviertel,Weingut Rockabilly Weinkult,Rockabilly Weinkult,Rotwein,Qualtätswein aus Österreich,"Zweigelt, Merlot, Cabernet Sauvignon",,trocken,dunkelrot mit kirschfarbenen Reflexen,"0,75 l",13 %,"5,0 g/l","5,2 g/l",14-16 °C,"ideal zu Fleischgereichen vom Schwein, Rind, auch vom Grill, zu Tapas und Käse",enthält Sulfite,"Weingut Rockabilly Weinkult,  Ramona & René Pollak, Hauptstraße 21, 2074 Unterretzbach - Österreich",AlephAlpha: luminous-supreme-control," Der Rockabilly Weinkult Cuvée Maximilian, Weinviertel, Österreich, ist ein trockener, dunkelroter Wein mit kirschfarbenen Reflexen, der sich perfekt eignet, um mit herzhaften Speisen wie Schweine-, Rindfleisch- und Grillgerichten oder auch mit Tapas und Käse genossen zu werden. Dieser Cuvée aus Zweigelt, Merlot und Cabernet Sauvignon hat einen vollmundigen Geschmack mit fruchtigen Aromen von Brombeeren, Kirschen und Pflaumen. Sein Abgang ist lang und weich mit einem Hauch von Vanille. Dieser Wein hat einen Alkoholgehalt von 13 % und eignet sich daher perfekt als Begleiter für gesellige Stunden.",verspielt
https://www.vindor.de/rockabilly-weinkult-sauvignon-blanc-weinviertel,"Achtung: Hoher Kultfaktor ! Die Rock’n’Roll-Winzer aus Österreich: Rockabilly Weinkult – Wein, der rockt, und das nicht nur bei Genießern mit Tolle.
Der Rockabilly Weinkult Sauvignon Blanc überzeugt durch seine Aromenspannbreite. In der Nase ein Duft nach frischer Paprika und Brombeere, bleibt am Gaumen haften, ein vielschichtiger Wein mit Spannung und tollem Trinkvergnügen. DER ROCKT !","Rockabilly Weinkult, Sauvignon Blanc, Weinviertel",Österreich,Weinviertel,Weingut Rockabilly Weinkult,Rockabilly Weinkult,Weißwein,Qualtätswein aus Österreich,,2016,trocken,Strohgelb mit grünen Reflexen,"0,75 l","12,5 %","6,4 g/l","6,3 g/l",8-9 °C,"Aperitif, Eierspeisen, Fisch und Schalentiere, Nudelgerichte mit hellen Soßen, Gemüsegerichte wie Gemüseauflauf, Gratin, Risotto.",enthält Sulfite,"Weingut Rockabilly Weinkult,  Ramona & René Pollak, Hauptstraße 21, 2074 Unterretzbach - Österreich",AlephAlpha: luminous-supreme-control," Der Rockabilly Weinkult Sauvignon Blanc aus dem Weinviertel, Österreich, ist ein trockener Weißwein, der mit einem fruchtigen, erfrischenden und knackigen Charakter überzeugt. Dieser Sauvignon Blanc ist eine Hommage an die Lebensfreude und das Lebensgefühl der 1950er Jahre. Er präsentiert sich in einem hellen Strohgelb mit grünen Reflexen. In der Nase duftet er nach reifen gelben Früchten wie Banane, Ananas und Zitrone, gepaart mit einem zarten Duft von grünem Apfel und Stachelbeere. Am Gaumen ist dieser Sauvignon Blanc knackig und knackig, mit einer frischen, lebhaften Säure, die für einen langen Abgang sorgt. Er passt perfekt zu Aperitifs, Eierspeisen, Fisch und Schalentieren, Nudelgerichten mit hellen Soßen, Gemüsegerichten wie Gemüseauflauf, Gratin, Risotto. Genießen Sie ihn bei einer Temperatur von 8-9 °C.",verspielt
https://www.vindor.de/weingut-pfaffl-zweigelt-vom-haus-niederoesterreich,"Zum Skifahren nach Österreich ? Klar, kann man machen. Wir empfehlen Weine vom vielfach prämierten Weingut Pfaffl aus Niederösterreich. Kaum ein Weingut mach so sehr auf sich aufmerksam, wie dieses. Unglaubliche Qualitäten, Vielfalt und Prämierungen. Worauf warten Sie noch ? Hier die Fakten: Der Zweigelt überzeugt schon beim Anblick druch sein tiefes Rubinrot. Die dunkle, vollreife Kirschen in der Nase, die Fülle und Saftigkeit am Gaumen machen diesen Wein zu einem Erlebnis. Rund und edel, würzige Noten und sanftes Tannin, kompakter, runder Körper - wunderbar. Vielfach prämiert in jedem Jahrgang.","Weingut Pfaffl, Zweigelt vom Haus, Niederösterreich",Österreich,Niederösterreich,Weingut Pfaffl,Weingut Pfaffl,Rotwein,,,2022,trocken,sehr dunkles Rubinrot,"0,75 l","13,5 %","3,0 g/l","5,1 g/l",16-18 °C,"diverse Braten, zu Steaks, Pasta und Pizza",enthält Sulfite,"Weingut R&A Pfaffl GmbH & Co KG, Schulgasse 21 A-2100 Stetten, Österreich",AlephAlpha: luminous-supreme-control," Der Weingut Pfaffl, Zweigelt vom Haus, Niederösterreich, ist ein vollmundiger Rotwein mit fruchtigen Aromen von Brombeeren und Kirschen, die sich mit weichen Tanninen zu einem komplexen Trinkerlebnis vereinen. Die Trinktemperatur von 16-18 °C bringt die Aromen dieses Rotweins am besten zur Geltung. Mit seiner trockenen Geschmacksrichtung und seinem Alkoholgehalt von 13,5 % ist der Weingut Pfaffl Zweigelt vom Haus, Niederösterreich, ein idealer Begleiter zu diversen Braten, zu Steaks, Pasta und Pizza.",verspielt
